Low Birth Weight Ind Desc,Year Desc,County Name,Age Group Desc,Birth Count,Birth Count_PCT,SORT
Low birth weight (<2500g),2006,Adams,15 to 17,3,20.0,0
Normal birth weight (2500g+),2006,Adams,15 to 17,*,*,1
Low birth weight (<2500g),2006,Adams,18 to 19,2,6.7,3
Normal birth weight (2500g+),2006,Adams,18 to 19,28,93.3,4
Low birth weight (<2500g),2006,Adams,20 to 24,12,8.7,6
Normal birth weight (2500g+),2006,Adams,20 to 24,126,91.3,7
Low birth weight (<2500g),2006,Adams,25 to 29,4,4.5,9
Normal birth weight (2500g+),2006,Adams,25 to 29,85,95.5,10
Low birth weight (<2500g),2006,Adams,30 to 34,2,3.2,12
Normal birth weight (2500g+),2006,Adams,30 to 34,61,96.8,13
Low birth weight (<2500g),2006,Adams,35 to 39,3,14.3,15
Normal birth weight (2500g+),2006,Adams,35 to 39,*,*,16
Low birth weight (<2500g),2006,Adams,40 to 44,*,*,18
Normal birth weight (2500g+),2006,Adams,40 to 44,*,*,19
Low birth weight (<2500g),2006,Adams,45 and older,0,0.0,21
Normal birth weight (2500g+),2006,Adams,45 and older,0,0.0,22
Low birth weight (<2500g),2006,Adams,Less than 15,0,0.0,24
Normal birth weight (2500g+),2006,Adams,Less than 15,0,0.0,25
Low birth weight (<2500g),2006,Adams,Unknown,0,0.0,27
Normal birth weight (2500g+),2006,Adams,Unknown,0,0.0,28
Low birth weight (<2500g),2006,Allen,15 to 17,2,3.3,33
Normal birth weight (2500g+),2006,Allen,15 to 17,58,96.7,34
Low birth weight (<2500g),2006,Allen,18 to 19,18,12.9,36
Normal birth weight (2500g+),2006,Allen,18 to 19,121,87.1,37
Low birth weight (<2500g),2006,Allen,20 to 24,43,9.1,39
Normal birth weight (2500g+),2006,Allen,20 to 24,428,90.9,40
Low birth weight (<2500g),2006,Allen,25 to 29,32,8.0,42
Normal birth weight (2500g+),2006,Allen,25 to 29,370,92.0,43
Low birth weight (<2500g),2006,Allen,30 to 34,19,8.2,45
Normal birth weight (2500g+),2006,Allen,30 to 34,214,91.8,46
Low birth weight (<2500g),2006,Allen,35 to 39,13,12.6,48
Normal birth weight (2500g+),2006,Allen,35 to 39,90,87.4,49
Low birth weight (<2500g),2006,Allen,40 to 44,3,17.6,51
Normal birth weight (2500g+),2006,Allen,40 to 44,*,*,52
Low birth weight (<2500g),2006,Allen,45 and older,0,0.0,54
Normal birth weight (2500g+),2006,Allen,45 and older,0,0.0,55
Low birth weight (<2500g),2006,Allen,Less than 15,0,0.0,57
Normal birth weight (2500g+),2006,Allen,Less than 15,*,*,58
Low birth weight (<2500g),2006,Allen,Unknown,0,0.0,60
Normal birth weight (2500g+),2006,Allen,Unknown,0,0.0,61
Low birth weight (<2500g),2006,Ashland,15 to 17,0,0.0,66
Normal birth weight (2500g+),2006,Ashland,15 to 17,*,*,67
Low birth weight (<2500g),2006,Ashland,18 to 19,5,13.9,69
Normal birth weight (2500g+),2006,Ashland,18 to 19,31,86.1,70
Low birth weight (<2500g),2006,Ashland,20 to 24,23,10.3,72
Normal birth weight (2500g+),2006,Ashland,20 to 24,200,89.7,73
Low birth weight (<2500g),2006,Ashland,25 to 29,14,6.3,75
Normal birth weight (2500g+),2006,Ashland,25 to 29,209,93.7,76
Low birth weight (<2500g),2006,Ashland,30 to 34,7,5.1,78
Normal birth weight (2500g+),2006,Ashland,30 to 34,130,94.9,79
Low birth weight (<2500g),2006,Ashland,35 to 39,5,10.2,81
Normal birth weight (2500g+),2006,Ashland,35 to 39,44,89.8,82
Low birth weight (<2500g),2006,Ashland,40 to 44,2,14.3,84
Normal birth weight (2500g+),2006,Ashland,40 to 44,*,*,85
Low birth weight (<2500g),2006,Ashland,45 and older,0,0.0,87
Normal birth weight (2500g+),2006,Ashland,45 and older,*,*,88
Low birth weight (<2500g),2006,Ashland,Less than 15,0,0.0,90
Normal birth weight (2500g+),2006,Ashland,Less than 15,0,0.0,91
Low birth weight (<2500g),2006,Ashland,Unknown,0,0.0,93
Normal birth weight (2500g+),2006,Ashland,Unknown,0,0.0,94
Low birth weight (<2500g),2006,Ashtabula,15 to 17,4,9.8,99
Normal birth weight (2500g+),2006,Ashtabula,15 to 17,37,90.2,100
Low birth weight (<2500g),2006,Ashtabula,18 to 19,6,5.6,102
Normal birth weight (2500g+),2006,Ashtabula,18 to 19,102,94.4,103
Low birth weight (<2500g),2006,Ashtabula,20 to 24,27,6.6,105
Normal birth weight (2500g+),2006,Ashtabula,20 to 24,383,93.4,106
Low birth weight (<2500g),2006,Ashtabula,25 to 29,38,10.5,108
Normal birth weight (2500g+),2006,Ashtabula,25 to 29,325,89.5,109
Low birth weight (<2500g),2006,Ashtabula,30 to 34,18,9.2,111
Normal birth weight (2500g+),2006,Ashtabula,30 to 34,178,90.8,112
Low birth weight (<2500g),2006,Ashtabula,35 to 39,14,10.9,114
Normal birth weight (2500g+),2006,Ashtabula,35 to 39,114,89.1,115
Low birth weight (<2500g),2006,Ashtabula,40 to 44,3,15.0,117
Normal birth weight (2500g+),2006,Ashtabula,40 to 44,*,*,118
Low birth weight (<2500g),2006,Ashtabula,45 and older,0,0.0,120
Normal birth weight (2500g+),2006,Ashtabula,45 and older,0,0.0,121
Low birth weight (<2500g),2006,Ashtabula,Less than 15,0,0.0,123
Normal birth weight (2500g+),2006,Ashtabula,Less than 15,*,*,124
Low birth weight (<2500g),2006,Ashtabula,Unknown,0,0.0,126
Normal birth weight (2500g+),2006,Ashtabula,Unknown,0,0.0,127
Low birth weight (<2500g),2006,Athens,15 to 17,2,11.8,132
Normal birth weight (2500g+),2006,Athens,15 to 17,*,*,133
Low birth weight (<2500g),2006,Athens,18 to 19,4,9.8,135
Normal birth weight (2500g+),2006,Athens,18 to 19,37,90.2,136
Low birth weight (<2500g),2006,Athens,20 to 24,13,6.9,138
Normal birth weight (2500g+),2006,Athens,20 to 24,175,93.1,139
Low birth weight (<2500g),2006,Athens,25 to 29,17,9.6,141
Normal birth weight (2500g+),2006,Athens,25 to 29,160,90.4,142
Low birth weight (<2500g),2006,Athens,30 to 34,5,5.4,144
Normal birth weight (2500g+),2006,Athens,30 to 34,87,94.6,145
Low birth weight (<2500g),2006,Athens,35 to 39,3,5.6,147
Normal birth weight (2500g+),2006,Athens,35 to 39,51,94.4,148
Low birth weight (<2500g),2006,Athens,40 to 44,*,*,150
Normal birth weight (2500g+),2006,Athens,40 to 44,*,*,151
Low birth weight (<2500g),2006,Athens,45 and older,0,0.0,153
